City,Lat,Long
Pretoria,-25.7459374,28.1879444
Potchefstroom,-26.7078,27.0958
Parys,-26.904354,27.456125
Kimberley,-28.7383012,24.7642251
Bloemfontein,-29.1164,26.2155
Harrismith,-28.2728,29.1294
Clarens,-28.5137,28.4194
Dullstroom,-25.418349,30.104624
Nelspruit,-25.481944,30.984722
Durban,-29.861825,31.009909
Pietermaritzburg,-29.6,30.3788889
Port Shepstone,-30.7428,30.4506
East London,-33.0192,27.8999
Port Elizabeth,-33.9617,25.6208
St Francis Bay,-34.1717,24.8329
Knysna,-34.035734,23.048485
Mossel Bay,-34.1832022,22.1536248
Hermanus,-34.4175,19.2361111
Franschhoek,-33.9092,19.1194
Riversdale,-34.094907,21.261473
Cape Town,-33.928992,18.417396
Saldanha,-33.0117,17.9442
Lambert's Bay,-32.0934,18.3073
Sutherland,-32.3939,20.6611
Piketberg,-32.904167,18.7575
Ceres,-33.3683,19.3092
Matjiesfontein,-33.2319,20.5803
Beaufort West,-32.3536,22.5806
Victoria West,-31.4031,23.1206
Colesberg,-30.721111,25.096667
Cradock,-32.1644444,25.6208333
Koffiefontein,-29.406384,25.004161
Bothaville,-27.3889,26.6166
Frankfort,-27.2789,28.497
Secunda,-26.516111,29.202778
Malelane,-25.494387,31.509445
Skukuza,-24.9612508,31.5900658
Sabie,-25.095556,30.779444
Belfast,-25.686667,30.033611
Hoedspruit,-24.353,30.9513
